category,state,jobs_retained,total_loan_amount
Outpatient Mental Health and Substance Abuse Centers,MN,369,3017771.67
Other Heavy and Civil Engineering Construction,CT,260,3016642.62
"Promoters of Performing Arts, Sports, and Similar Events with Facilities",NC,597,3016026.45
"Gift, Novelty, and Souvenir Stores",AZ,547,3015922.62
Other Grantmaking and Giving Services,LA,586,3015537.44
"Environment, Conservation and Wildlife Organizations",CO,303,3015079.54
Home Furnishing Merchant Wholesalers,NC,210,3014041.45
Wholesale Trade Agents and Brokers,MA,171,3011609.85
Masonry Contractors,SC,357,3011470.99
"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)",MI,455,3011360.50
All Other Miscellaneous Electrical Equipment and Component Manufacturing,NY,240,3010591.60
Nursing Care Facilities (Skilled Nursing Facilities),AL,570,3010262.16
Other Building Equipment Contractors,MI,332,3008965.41
Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,CT,242,3008728.61
Packaging and Labeling Services,TX,344,3008024.59
"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",TX,478,3007907.21
Wholesale Trade Agents and Brokers,WA,218,3006736.16
Other Gasoline Stations,CT,380,3006428.47
Residential Intellectual and Developmental Disability Facilities,VA,301,3006133.21
Flooring Contractors,LA,410,3004834.74
Commercial Screen Printing,IN,482,3004618.58
Other Accounting Services,NE,361,3003844.97
Computer Systems Design Services,DC,255,3003519.02
Support Activities for Forestry,FL,308,3002096.01
Electromedical and Electrotherapeutic Apparatus Manufacturing,CA,273,3000689.88
Painting and Wall Covering Contractors,NV,467,3000174.67
Cotton Farming,CA,278,2999720.38
All Other General Merchandise Stores,PA,462,2999019.75
Mortgage and Nonmortgage Loan Brokers,UT,344,2997966.00
Sign Manufacturing,MD,281,2997916.50
Industrial Building Construction,MD,284,2997594.04
Dairy Cattle and Milk Production,IN,461,2997387.09
Appliance Repair and Maintenance,WA,261,2994720.94
Investment Banking and Securities Dealing,IL,187,2994139.84
Wood Window and Door Manufacturing,FL,293,2993037.87
New Housing For-Sale Builders,IA,340,2992189.96
Other Gasoline Stations,WA,426,2991458.85
"Highway, Street, and Bridge Construction",IN,349,2991313.95
Car Washes,IA,699,2990752.25
Executive Search Services,MI,384,2990521.69
Motor Vehicle Towing,LA,408,2990505.66
Cotton Farming,MS,396,2990221.90
Periodical Publishers,TX,328,2989831.90
Other Automotive Mechanical and Electrical Repair and Maintenance,LA,369,2989721.33
Dental Laboratories,MD,807,2989518.22
Other Support Activities for Water Transportation,FL,312,2989191.97
Wholesale Trade Agents and Brokers,MO,236,2988637.04
Breweries,IN,704,2988304.19
Other Computer Related Services,UT,294,2986155.86
Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),GA,317,2986140.43
Industrial Building Construction,KY,342,2985576.97
Music Publishers,NY,242,2985167.54
Investment Banking and Securities Dealing,FL,185,2985096.39
Carpet and Upholstery Cleaning Services,AZ,502,2984965.70
"Other Foundation, Structure, and Building Exterior Contractors",MI,360,2984179.31
"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",NY,206,2984136.14
Framing Contractors,AZ,577,2984012.63
Architectural Services,NM,265,2983907.93
Optical Goods Stores,OH,334,2983818.40
Glass and Glazing Contractors,TN,276,2983060.95
All Other Miscellaneous Schools and Instruction,MO,657,2982867.94
Automotive Parts and Accessories Stores,ID,421,2982395.48
Barber Shops,SC,381,2982275.20
Finish Carpentry Contractors,SC,353,2981875.06
Court Reporting and Stenotype Services,TX,276,2981304.30
Other Miscellaneous Durable Goods Merchant Wholesalers,CT,269,2980282.06
Mortgage and Nonmortgage Loan Brokers,IL,342,2978566.39
Architectural Services,ID,363,2978488.16
Tile and Terrazzo Contractors,WA,785,2978055.81
Offices of Mental Health Practitioners (except Physicians),SC,343,2977866.24
All Other Health and Personal Care Stores,MA,264,2977418.02
All Other Miscellaneous Fabricated Metal Product Manufacturing,NC,259,2977364.75
All Other Home Furnishings Stores,CO,253,2976587.69
Interior Design Services,OR,250,2976441.07
Snack and Nonalcoholic Beverage Bars,NE,756,2976108.06
Consumer Lending,LA,349,2975987.92
Floor Covering Stores,MD,328,2975621.38
Site Preparation Contractors,SD,422,2975095.35
New Car Dealers,LA,304,2974155.40
Funeral Homes and Funeral Services,NE,397,2973854.98
Oilseed and Grain Combination Farming,KS,331,2972022.05
Veterinary Services,HI,274,2971592.00
Museums,OH,603,2971412.45
Other Miscellaneous Nondurable Goods Merchant Wholesalers,AZ,687,2971250.03
Miscellaneous Intermediation,OR,398,2971164.88
Investment Advice,AR,208,2970468.76
Voluntary Health Organizations,TX,549,2970334.20
Offices of All Other Miscellaneous Health Practitioners,ME,402,2970240.62
Floor Covering Stores,LA,290,2970098.19
Musical Groups and Artists,PA,474,2969876.12
Clothing Accessories Stores,NC,433,2969492.58
All Other Miscellaneous Store Retailers (except Tobacco Stores),ND,440,2967457.14
Fabricated Structural Metal Manufacturing,GA,340,2965628.92
Wine and Distilled Alcoholic Beverage Merchant Wholesalers,TX,429,2965427.57
All Other Miscellaneous Fabricated Metal Product Manufacturing,CO,260,2964281.88
Testing Laboratories,CO,262,2964067.04
Other Commercial and Industrial Machinery and Equipment Rental and Leasing,LA,318,2962829.13
All Other Miscellaneous General Purpose Machinery Manufacturing,PA,260,2962518.70
Exterminating and Pest Control Services,NV,348,2962379.57
Florists,IN,765,2961744.01
Family Planning Centers,FL,511,2960353.25
Poured Concrete Foundation and Structure Contractors,ME,314,2959362.55
Tile and Terrazzo Contractors,UT,625,2959147.98
Recreational and Vacation Camps (except Campgrounds),ME,771,2959113.94
Research and Development in Biotechnology (except Nanobiotechnology),NY,169,2958078.62
"All Other Professional, Scientific, and Technical Services",ME,366,2957833.50
All Other Miscellaneous Ambulatory Health Care Services,OK,508,2957813.84
Landscape Architectural Services,KY,579,2956147.60
Florists,MD,544,2955804.48
Software Publishers,MO,292,2955009.22
Business Associations,MD,389,2953693.02
Continuing Care Retirement Communities,MI,522,2953243.67
Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,MA,220,2953055.74
Motor Vehicle Towing,OR,336,2952820.09
Offices of Other Holding Companies,LA,401,2952513.43
Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,NC,234,2952005.60
Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,FL,341,2951009.10
Veterinary Services,PR,657,2950291.97
"Photography Studios, Portrait",MI,389,2949950.85
All Other General Merchandise Stores,IL,503,2949821.44
Professional Organizations,WA,324,2949544.78
Industrial Machinery and Equipment Merchant Wholesalers,VA,188,2948153.67
Tire Dealers,WI,324,2948097.66
"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",MO,235,2947678.00
"Other Foundation, Structure, and Building Exterior Contractors",OK,394,2947516.12
All Other General Merchandise Stores,GA,377,2947218.28
Painting and Wall Covering Contractors,RI,284,2947103.22
Investment Advice,ID,332,2946275.01
"Cosmetics, Beauty Supplies, and Perfume Stores",OH,478,2946123.39
Other Millwork (including Flooring),TX,563,2946012.13
"General Freight Trucking, Local",NH,261,2945465.98
Fresh Fruit and Vegetable Merchant Wholesalers,AZ,360,2945430.04
Child Day Care Services,PR,1193,2944869.27
Building Inspection Services,GA,360,2944681.12
Other Services to Buildings and Dwellings,OK,480,2944361.17
Landscape Architectural Services,ID,409,2942703.63
Other Electronic and Precision Equipment Repair and Maintenance,MI,264,2941446.54
Other Clothing Stores,TN,575,2940345.15
Household Appliance Stores,IA,406,2939741.29
Recyclable Material Merchant Wholesalers,SC,378,2939017.03
Golf Courses and Country Clubs,NE,1002,2938962.68
Professional Organizations,CO,338,2938866.74
Employment Placement Agencies,CT,289,2938202.50
Private Mail Centers,TX,584,2937813.23
All Other Health and Personal Care Stores,MD,301,2937326.61
Other Activities Related to Real Estate,MT,368,2935957.53
"Nursery, Garden Center, and Farm Supply Stores",MD,384,2935870.06
Boat Dealers,TN,300,2935553.42
"Motorcycle, ATV, and All Other Motor Vehicle Dealers",UT,477,2935233.87
Golf Courses and Country Clubs,CT,654,2934720.24
"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",PA,159,2934588.18
Software Publishers,CT,219,2934451.14
Metal Window and Door Manufacturing,TX,359,2934279.15
Wheat Farming,MN,330,2933749.77
"Beer, Wine, and Liquor Stores",DE,522,2932974.88
Residential Mental Health and Substance Abuse Facilities,NC,462,2932054.18
"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",NJ,374,2932052.02
"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",OR,208,2930928.94
Septic Tank and Related Services,PA,321,2930916.84
Finish Carpentry Contractors,AL,398,2929717.50
Other Building Material Dealers,KS,360,2929587.41
Remediation Services,IL,242,2928886.59
Other Residential Care Facilities,MN,519,2927665.00
Offices of Other Holding Companies,MN,233,2927194.59
Other Miscellaneous Durable Goods Merchant Wholesalers,NV,261,2926048.00
Other Management Consulting Services,RI,212,2925629.06
Cutting Tool and Machine Tool Accessory Manufacturing,CA,401,2925050.67
"Specialized Freight (except Used Goods) Trucking, Local",ID,849,2924722.15
Other Building Equipment Contractors,IA,323,2924538.58
Computer Systems Design Services,NH,160,2923969.67
Automobile Driving Schools,TX,820,2923821.15
All Other Information Services,CO,176,2923419.15
Land Subdivision,VA,218,2923390.24
Other Individual and Family Services,AR,321,2922566.81
"Other Foundation, Structure, and Building Exterior Contractors",LA,344,2922251.68
Other Professional Equipment and Supplies Merchant Wholesalers,NY,273,2922059.29
Architectural Services,IA,231,2920995.28
Offices of Certified Public Accountants,AK,230,2920863.91
New Car Dealers,AR,310,2920421.53
Masonry Contractors,TN,383,2920113.26
Painting and Wall Covering Contractors,SD,390,2919638.92
Plate Work Manufacturing,PA,245,2919437.01
Automotive Oil Change and Lubrication Shops,MO,410,2919315.37
Other Waste Collection,FL,358,2918689.12
Office Supplies and Stationery Stores,IL,339,2916951.60
Carpet and Upholstery Cleaning Services,NJ,382,2916636.82
Security Guards and Patrol Services,OH,600,2916585.86
Drinking Places (Alcoholic Beverages),WY,938,2916517.70
Employment Placement Agencies,IN,309,2916295.20
Dental Equipment and Supplies Manufacturing,CA,270,2915701.76
Continuing Care Retirement Communities,MN,529,2915481.85
Professional and Management Development Training,WA,250,2914415.67
Motion Picture and Video Production,UT,419,2913633.01
Offices of Real Estate Appraisers,AZ,939,2912718.80
Drywall and Insulation Contractors,NE,247,2912009.47
Third Party Administration of Insurance and Pension Funds,CA,351,2911375.89
Service Establishment Equipment and Supplies Merchant Wholesalers,PA,282,2910486.05
RV (Recreational Vehicle) Parks and Campgrounds,PA,660,2910386.27
Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,TX,410,2909790.30
Electronic Shopping and Mail-Order Houses,WA,233,2909355.13
Security Guards and Patrol Services,PR,1470,2908424.08
"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",TN,254,2908125.99
Professional and Management Development Training,MN,256,2906648.81
Painting and Wall Covering Contractors,AR,459,2906440.16
Human Resources Consulting Services,CO,255,2905801.47
All Other Miscellaneous Manufacturing,MD,294,2905355.68
"Automotive Body, Paint, and Interior Repair and Maintenance",WY,283,2904770.53
Other Individual and Family Services,KS,458,2904768.39
Convenience Stores,SD,610,2904060.95
Miscellaneous Financial Investment Activities,IN,259,2904047.23
Document Preparation Services,TX,298,2903116.59
Used Merchandise Stores,WI,639,2902886.79
Other Social Advocacy Organizations,CT,365,2902096.52
Support Activities for Animal Production,KS,588,2901128.15
Used Car Dealers,MT,335,2900863.74
Assisted Living Facilities for the Elderly,VA,407,2900098.42
Travel Agencies,MD,354,2899998.65
"Sewing, Needlework, and Piece Goods Stores",TX,607,2899981.23
Automotive Oil Change and Lubrication Shops,NC,379,2899970.55
Direct Mail Advertising,FL,283,2898332.59
Other Concrete Product Manufacturing,FL,356,2898181.50
Other Miscellaneous Nondurable Goods Merchant Wholesalers,NV,559,2898035.00
"Motorcycle, ATV, and All Other Motor Vehicle Dealers",OK,373,2897578.01
Meat and Meat Product Merchant Wholesalers,TX,401,2896865.44
Offices of Real Estate Appraisers,SC,307,2896581.33
Nonresidential Property Managers,IN,301,2896496.13
Elementary and Secondary Schools,AR,612,2894924.48
Offices of Other Holding Companies,NV,662,2893068.00
Hardware Stores,CT,433,2893016.81
All Other Telecommunications,TN,290,2892896.10
Software Publishers,TN,186,2892893.91
Golf Courses and Country Clubs,AL,607,2892280.25
Family Clothing Stores,MI,444,2891857.83
Cotton Farming,MO,424,2891698.70
Fuel Dealers,NJ,268,2891662.45
Marketing Research and Public Opinion Polling,MA,213,2890575.92
Limousine Service,GA,1357,2890278.84
Drywall and Insulation Contractors,KY,370,2888620.99
Barber Shops,MO,472,2888527.37
Nonresidential Property Managers,WI,288,2887898.38
Other Electronic Component Manufacturing,TX,834,2887812.00
Reupholstery and Furniture Repair,IL,372,2887017.73
"Highway, Street, and Bridge Construction",KY,336,2886734.00
"Offices of Physicians, Mental Health Specialists",WI,315,2886021.55
Nursing Care Facilities (Skilled Nursing Facilities),VA,395,2885928.73
Golf Courses and Country Clubs,CO,434,2885304.46
Consumer Lending,MS,434,2885188.20
Glass and Glazing Contractors,NJ,218,2885117.81
Computer Systems Design Services,KY,270,2883875.35
Civic and Social Organizations,AL,556,2883229.98
Museums,NC,450,2883169.21
"Highway, Street, and Bridge Construction",IA,393,2882788.98
Hotels (except Casino Hotels) and Motels,RI,568,2882780.69
Industrial Supplies Merchant Wholesalers,MN,214,2882684.80
Child and Youth Services,AZ,489,2882017.63
Taxi Service,MD,1389,2881635.52
Drinking Places (Alcoholic Beverages),WV,981,2880697.14
Household Appliance Stores,NJ,290,2879342.37
Child and Youth Services,CT,412,2879118.86
Land Subdivision,CO,569,2878873.44
Miscellaneous Intermediation,LA,450,2878483.69
Hog and Pig Farming,OH,331,2877808.80
Miscellaneous Financial Investment Activities,SC,228,2877735.39
Machine Shops,UT,460,2877356.85
Golf Courses and Country Clubs,ME,639,2876521.86
Other Snack Food Manufacturing,CA,413,2876235.72
Sports Teams and Clubs,CO,508,2875769.69
Court Reporting and Stenotype Services,FL,316,2874817.27
Marketing Research and Public Opinion Polling,PA,242,2874815.72
Custom Computer Programming Services,AR,220,2874478.89
"General Freight Trucking, Long-Distance, Less Than Truckload",IL,329,2874111.30
Musical Groups and Artists,NJ,426,2873790.11
Water and Sewer Line and Related Structures Construction,TN,280,2873074.40
Metal Service Centers and Other Metal Merchant Wholesalers,NJ,178,2872945.25
Machine Shops,IA,288,2872819.36
Other Services Related to Advertising,MN,276,2872711.87
"Electroplating, Plating, Polishing, Anodizing, and Coloring",MI,296,2872441.78
Testing Laboratories,MI,308,2872123.00
Farm and Garden Machinery and Equipment Merchant Wholesalers,OH,317,2872012.44
Parking Lots and Garages,TX,682,2871774.32
Farm Machinery and Equipment Manufacturing,TX,333,2871605.63
Other Grantmaking and Giving Services,WI,439,2871322.45
Mortgage and Nonmortgage Loan Brokers,MI,261,2870626.41
Lessors of Other Real Estate Property,AZ,490,2870245.41
"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",WI,238,2869995.27
"Process, Physical Distribution, and Logistics Consulting Services",MI,587,2868947.61
Wood Container and Pallet Manufacturing,OH,382,2868208.32
Florists,TN,462,2867688.45
Drilling Oil and Gas Wells,CO,233,2867350.15
Cattle Feedlots,CO,328,2866018.74
Golf Courses and Country Clubs,AZ,964,2865643.80
Machine Shops,WV,297,2865611.00
Remediation Services,NC,304,2865025.16
Administration of Education Programs,CA,452,2864577.13
"Specialized Freight (except Used Goods) Trucking, Long-Distance",NJ,212,2864411.89
Hardware Stores,NE,561,2864245.79
Machine Tool Manufacturing,PA,260,2863706.62
Lessors of Other Real Estate Property,WA,324,2863530.68
"Other Foundation, Structure, and Building Exterior Contractors",TN,290,2863510.71
Optical Goods Stores,MA,208,2862887.12
Women's Clothing Stores,OH,744,2862866.41
Computer Systems Design Services,OK,263,2862825.87
Industrial Supplies Merchant Wholesalers,WI,237,2862315.69
Funeral Homes and Funeral Services,WA,217,2861882.50
Structural Steel and Precast Concrete Contractors,GA,305,2861597.53
All Other Legal Services,WA,254,2858678.04
Children's and Infants' Clothing Stores,CA,464,2857750.24
Glass and Glazing Contractors,MO,258,2856729.60
Nail Salons,AR,503,2856417.92
Shoe Stores,PA,435,2856188.21
Book Publishers,FL,300,2855763.42
Bowling Centers,MO,723,2854927.58
Recyclable Material Merchant Wholesalers,AL,424,2854904.25
Retail Bakeries,NC,561,2853020.29
Barber Shops,AL,429,2852462.55
Coin-Operated Laundries and Drycleaners,MA,566,2852450.94
All Other Information Services,IL,236,2852431.07
Hardware Merchant Wholesalers,NJ,215,2851606.57
Other Building Equipment Contractors,KY,279,2851074.23
Surveying and Mapping (except Geophysical) Services,OK,292,2850460.19
Elementary and Secondary Schools,MT,577,2850190.27
Aircraft Manufacturing,CA,195,2849539.78
Florists,MO,638,2849170.49
Land Subdivision,WA,226,2848488.54
Tile and Terrazzo Contractors,PA,246,2848369.84
Fish and Seafood Merchant Wholesalers,NJ,254,2848246.82
Used Merchandise Stores,CO,478,2847805.90
All Other Health and Personal Care Stores,SC,371,2846960.86
"Motorcycle, ATV, and All Other Motor Vehicle Dealers",NJ,600,2845975.19
"Cosmetics, Beauty Supplies, and Perfume Stores",MD,328,2845759.12
Other Miscellaneous Nondurable Goods Merchant Wholesalers,MO,301,2845680.99
Fish and Seafood Merchant Wholesalers,TX,742,2845642.10
Other Industrial Machinery Manufacturing,WI,218,2845149.04
Food Service Contractors,MN,752,2844413.66
All Other Miscellaneous Store Retailers (except Tobacco Stores),WY,382,2844059.98
Water and Sewer Line and Related Structures Construction,OK,337,2843879.01
Cutting Tool and Machine Tool Accessory Manufacturing,OH,256,2843611.67
Wood Kitchen Cabinet and Countertop Manufacturing,CT,282,2843546.08
Other Clothing Stores,WA,328,2843497.94
Other Airport Operations,CA,282,2842504.45
New Car Dealers,VA,297,2842108.00
Floor Covering Stores,AL,348,2840494.72
Asphalt Paving Mixture and Block Manufacturing,PA,346,2840188.12
Freestanding Ambulatory Surgical and Emergency Centers,GA,419,2839398.89
"Environment, Conservation and Wildlife Organizations",FL,373,2839388.32
Software Publishers,WI,225,2838565.64
Portfolio Management,TN,198,2838374.67
"Independent Artists, Writers, and Performers",CT,345,2838329.25
"General Freight Trucking, Long-Distance, Truckload",CT,257,2837624.08
Direct Property and Casualty Insurance Carriers,IA,275,2837537.50
Solar Electric Power Generation,TX,302,2836374.62
Drinking Places (Alcoholic Beverages),RI,798,2836258.79
Portfolio Management,WA,172,2836109.68
Tile and Terrazzo Contractors,OH,265,2833877.34
Fine Arts Schools,WI,687,2833503.60
Appliance Repair and Maintenance,AZ,543,2832225.49
Recreational Vehicle Dealers,MI,379,2832022.85
Couriers and Express Delivery Services,PA,307,2831604.12
Other Spectator Sports,NC,272,2831411.95
Cut Stone and Stone Product Manufacturing,OH,295,2829465.39
Masonry Contractors,AL,345,2827980.32
"Specialized Freight (except Used Goods) Trucking, Local",SD,316,2826697.77
Water Supply and Irrigation Systems,NJ,250,2826490.85
Meat Markets,MI,595,2826397.54
New Car Dealers,CT,267,2826286.69
Offices of Mental Health Practitioners (except Physicians),ID,355,2825252.03
Supermarkets and Other Grocery (except Convenience) Stores,ND,853,2824296.06
Women's Clothing Stores,MS,808,2822685.45
Soybean Farming,KY,417,2821991.60
Other Commercial and Service Industry Machinery Manufacturing,IL,284,2821859.44
Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,ID,333,2821267.63
Freestanding Ambulatory Surgical and Emergency Centers,NJ,268,2820967.89
Freestanding Ambulatory Surgical and Emergency Centers,MI,337,2820678.65
Boat Dealers,VA,213,2820338.51
Other Clothing Stores,IN,512,2820311.33
Landscape Architectural Services,KS,504,2819355.96
Recreational and Vacation Camps (except Campgrounds),MI,904,2818768.30
Pharmacies and Drug Stores,ID,258,2818708.37
"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)",OR,292,2817040.08
Tax Preparation Services,IA,429,2816791.42
Remediation Services,CO,335,2816492.27
"Promoters of Performing Arts, Sports, and Similar Events with Facilities",OH,653,2816232.06
Offices of Optometrists,ND,329,2815480.00
All Other Insurance Related Activities,MA,170,2814337.79
Used Car Dealers,WV,374,2813972.40
Offices of Other Holding Companies,TN,341,2812936.56
Business Associations,MO,435,2812646.05
Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,ND,312,2812152.03
Offices of Mental Health Practitioners (except Physicians),NE,280,2811753.98
Security Systems Services (except Locksmiths),OK,329,2811682.79
Temporary Help Services,MI,558,2811148.57
General Rental Centers,CA,249,2810841.65
All Other General Merchandise Stores,NC,420,2810463.12
Public Relations Agencies,CO,218,2809854.17
New Multifamily Housing Construction (except For-Sale Builders),IN,348,2809702.86
Business Associations,MA,285,2809277.53
Upholstered Household Furniture Manufacturing,NC,371,2809065.18
"Offices of Physicians, Mental Health Specialists",KY,333,2808748.83
"Promoters of Performing Arts, Sports, and Similar Events with Facilities",WI,496,2808044.87
"Electroplating, Plating, Polishing, Anodizing, and Coloring",IL,306,2807461.50
Emergency and Other Relief Services,CA,495,2806348.47
Dental Laboratories,AZ,348,2806175.61
Water Supply and Irrigation Systems,CO,293,2806038.40
Boat Dealers,NJ,250,2805765.94
All Other Miscellaneous Schools and Instruction,DC,374,2805614.72
Florists,WA,384,2805262.30
Vocational Rehabilitation Services,MO,714,2804559.42
Women's Clothing Stores,MA,455,2804059.88
Flooring Contractors,OK,409,2803926.52
Travel Agencies,HI,298,2803358.50
"Soil Preparation, Planting, and Cultivating",IL,360,2803207.18
"Doll, Toy, and Game Manufacturing",CA,386,2801859.18
Tire and Tube Merchant Wholesalers,CA,275,2801834.00
Farm Supplies Merchant Wholesalers,IN,346,2801590.24
Outdoor Power Equipment Stores,NC,294,2801540.44
Building Inspection Services,IL,313,2800679.45
Other Industrial Machinery Manufacturing,FL,262,2799240.80
Lessors of Other Real Estate Property,WI,464,2798859.92
Commercial Screen Printing,VA,251,2798293.24
Clothing Accessories Stores,SC,437,2798235.74
Private Mail Centers,FL,449,2797588.04
Soybean Farming,LA,365,2796829.41
Legal Counsel and Prosecution,MO,236,2796661.22
Oilseed and Grain Combination Farming,WI,456,2796089.09
Confectionery and Nut Stores,NY,483,2794949.08
All Other Specialty Food Stores,MO,844,2794644.73
Confectionery Merchant Wholesalers,CA,326,2794498.96
Radio Stations,IL,421,2793729.55
Drilling Oil and Gas Wells,WY,250,2793122.12
Electronics Stores,IN,427,2792435.44
Diet and Weight Reducing Centers,TX,417,2792139.18
Other Vegetable (except Potato) and Melon Farming,GA,859,2792057.29
Materials Recovery Facilities,NY,288,2791395.70
Farm Supplies Merchant Wholesalers,WI,350,2791022.09
Electronics Stores,CO,318,2790928.65
Elementary and Secondary Schools,NM,485,2790874.18
Other Commercial Equipment Merchant Wholesalers,PA,302,2790577.25
Surveying and Mapping (except Geophysical) Services,WA,215,2789587.78
Bed-and-Breakfast Inns,NY,530,2789438.62
Human Resources Consulting Services,MN,367,2789228.17
Local Messengers and Local Delivery,IL,432,2788631.11
Direct Life Insurance Carriers,FL,271,2788014.86
Office Machinery and Equipment Rental and Leasing,TX,331,2787276.46
Other Clothing Stores,MO,554,2787149.36
Automotive Transmission Repair,OH,286,2786616.69
Telecommunications Resellers,NY,248,2786392.26
Machine Tool Manufacturing,WI,266,2786276.15
Miscellaneous Financial Investment Activities,AL,187,2786215.74
Water Supply and Irrigation Systems,IL,342,2786184.87
Diagnostic Imaging Centers,NY,263,2785847.99
Automotive Parts and Accessories Stores,NM,362,2785586.96
Automotive Transmission Repair,IL,260,2784625.01
Dance Companies,NY,669,2784238.41
Fitness and Recreational Sports Centers,HI,642,2783828.98
All Other Business Support Services,KS,343,2783093.90
Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,PA,205,2782369.79
Legal Counsel and Prosecution,SC,230,2782170.13
Motion Picture and Video Production,WI,235,2782128.98
Offices of Other Holding Companies,OR,326,2782092.95
Locksmiths,PA,250,2781119.52
"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",GA,380,2780100.63
Boat Dealers,SC,298,2778079.50
Marketing Research and Public Opinion Polling,OH,249,2777778.12
Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,NY,234,2777602.11
All Other Telecommunications,MO,247,2777539.73
All Other Support Activities for Transportation,MO,344,2776640.01
Miscellaneous Financial Investment Activities,CT,191,2775879.63
Hunting and Trapping,TX,380,2775849.05
Other Miscellaneous Nondurable Goods Merchant Wholesalers,MD,369,2775686.16
Recyclable Material Merchant Wholesalers,IN,389,2774751.36
Other Services to Buildings and Dwellings,KS,404,2774398.37
Structural Steel and Precast Concrete Contractors,FL,270,2773724.62
"Scenic and Sightseeing Transportation, Land",TX,365,2773722.54
Business Associations,NJ,367,2773078.55
Community Food Services,NY,269,2771609.20
"Scenic and Sightseeing Transportation, Water",CA,483,2771070.32
Women's Clothing Stores,OR,473,2770290.44
Miscellaneous Financial Investment Activities,NC,192,2769895.60
Logging,PA,349,2768572.96
Commercial Bakeries,MI,1025,2767539.77
Diet and Weight Reducing Centers,CA,436,2767268.75
Ophthalmic Goods Merchant Wholesalers,CA,279,2766304.81
Dairy Product (except Dried or Canned) Merchant Wholesalers,NY,347,2766261.79
Drafting Services,CA,228,2766057.86
Janitorial Services,ND,524,2765355.50
All Other Miscellaneous Wood Product Manufacturing,WA,161,2764456.14
Tax Preparation Services,AR,471,2764364.23
Other Millwork (including Flooring),NY,192,2764281.90
All Other Telecommunications,CT,224,2762650.61
Consumer Lending,AL,381,2761688.29
Tile and Terrazzo Contractors,NV,384,2760514.09
"Data Processing, Hosting, and Related Services",MN,219,2759818.82
Cemeteries and Crematories,OH,474,2759779.99
Jewelry Stores,KY,385,2759330.00
Other Vegetable (except Potato) and Melon Farming,NJ,574,2758942.23
Men's and Boys' Clothing and Furnishings Merchant Wholesalers,NJ,259,2758134.36
Sporting and Athletic Goods Manufacturing,CO,236,2757485.26
General Warehousing and Storage,NC,355,2757362.18
All Other Insurance Related Activities,VA,295,2756869.67
Metal Service Centers and Other Metal Merchant Wholesalers,IN,212,2756103.12
Other Accounting Services,ID,388,2755976.26
Lessors of Nonresidential Buildings (except Miniwarehouses),PR,478,2755411.15
"Data Processing, Hosting, and Related Services",TN,209,2755400.65
Glass and Glazing Contractors,PA,247,2755391.42
Internet Publishing and Broadcasting and Web Search Portals,CO,196,2755303.42
Fine Arts Schools,OR,606,2755055.15
Remediation Services,MA,294,2754147.60
Interior Design Services,AL,285,2753228.64
All Other Amusement and Recreation Industries,KS,899,2753033.12
All Other Miscellaneous Fabricated Metal Product Manufacturing,MO,314,2752990.66
RV (Recreational Vehicle) Parks and Campgrounds,MI,587,2752417.00
Child and Youth Services,MD,402,2751463.46
Industrial Supplies Merchant Wholesalers,MO,326,2751437.93
Home Centers,IL,322,2751416.98
Window Treatment Stores,TX,276,2751091.08
"Specialized Freight (except Used Goods) Trucking, Local",ME,181,2750787.01
Farm Management Services,NE,311,2750757.02
Industrial Mold Manufacturing,MI,223,2750056.38
Florists,MN,709,2749873.59
Automotive Parts and Accessories Stores,NH,190,2747789.35
Cosmetology and Barber Schools,VA,421,2747401.32
Ambulance Services,CA,382,2746984.76
Pet Care (except Veterinary) Services,UT,577,2746869.94
Caterers,OR,548,2746388.10
Professional and Management Development Training,MD,208,2745649.01
Other Building Equipment Contractors,LA,321,2744982.06
"Offices of Physical, Occupational and Speech Therapists, and Audiologists",RI,228,2744786.94
Framing Contractors,MO,334,2744582.87
"Motorcycle, ATV, and All Other Motor Vehicle Dealers",TN,264,2744376.34
