category,state,jobs_retained,total_loan_amount
All Other Business Support Services,CA,16125,103754290.25
Limited-Service Restaurants,GA,30069,103696576.73
Child Day Care Services,FL,20607,103608435.30
Electrical Contractors and Other Wiring Installation Contractors,FL,11039,103488756.52
Landscaping Services,FL,14625,102613924.18
All Other Personal Services,TX,14058,102575301.54
Child Day Care Services,CA,17891,102478213.27
"General Freight Trucking, Local",CA,12183,102325354.52
Offices of Dentists,IN,9442,100497349.43
Offices of Dentists,AZ,13749,100492410.00
Beauty Salons,TX,19564,100454368.27
Religious Organizations,OH,20194,100211324.81
Full-Service Restaurants,AZ,24650,100091187.59
Full-Service Restaurants,CT,23005,99788269.98
Electrical Contractors and Other Wiring Installation Contractors,TX,11925,99644134.26
Gasoline Stations with Convenience Stores,CA,16829,99473812.40
Other Management Consulting Services,FL,10865,99096312.41
Other Management Consulting Services,TX,12548,98978775.29
Limited-Service Restaurants,MA,19102,98823686.92
General Automotive Repair,FL,10458,98332512.44
Limited-Service Restaurants,MI,26504,97389933.76
Full-Service Restaurants,LA,25663,97315926.98
Offices of Dentists,TN,8512,96822843.80
Insurance Agencies and Brokerages,PA,7337,96587881.49
"Independent Artists, Writers, and Performers",CA,9097,96203118.59
Offices of Certified Public Accountants,TX,10150,96163195.27
Marketing Consulting Services,CA,7930,95985500.16
Offices of All Other Miscellaneous Health Practitioners,CA,11470,95630220.50
Limited-Service Restaurants,OH,29654,95567944.90
Limited-Service Restaurants,NJ,23525,95211728.49
Religious Organizations,NC,16835,94778109.21
Offices of Dentists,MD,9229,94496481.35
Commercial and Institutional Building Construction,FL,10916,94468584.37
Religious Organizations,MI,18428,94238256.67
Religious Organizations,GA,17853,94144828.06
All Other Personal Services,NY,8389,93597114.97
Limited-Service Restaurants,PA,23908,92631649.22
Offices of Physicians (except Mental Health Specialists),AZ,10793,92361319.97
Offices of Lawyers,OH,8806,92061917.43
Home Health Care Services,CA,19186,92009189.55
Electrical Contractors and Other Wiring Installation Contractors,NY,7952,90700033.03
Offices of Lawyers,NC,6843,89967424.09
Offices of Certified Public Accountants,NY,7081,89511638.81
Religious Organizations,VA,12089,88826307.75
"General Freight Trucking, Local",FL,6033,88298139.46
General Automotive Repair,NY,9113,87708962.48
Administrative Management and General Management Consulting Services,TX,9845,87429810.35
Offices of Physicians (except Mental Health Specialists),OH,8481,86541800.69
Other Accounting Services,CA,9401,86375854.54
Pharmacies and Drug Stores,NY,8454,86362068.45
Full-Service Restaurants,AL,21789,86216899.38
Offices of Physicians (except Mental Health Specialists),NC,7440,86155258.39
Other Activities Related to Real Estate,FL,7855,85626801.87
Offices of Physicians (except Mental Health Specialists),MD,7501,85279150.59
Offices of Lawyers,MI,6772,85087964.47
Offices of Certified Public Accountants,FL,7451,84846284.27
Investment Advice,CA,8054,84843718.75
Offices of Physicians (except Mental Health Specialists),VA,6294,84686092.81
Gasoline Stations with Convenience Stores,TX,17910,83881307.93
Offices of Lawyers,VA,4849,82864458.70
Offices of Physicians (except Mental Health Specialists),LA,7869,82795707.68
Landscaping Services,CA,12166,82765576.02
Offices of Optometrists,CA,8837,82524175.10
Residential Remodelers,NY,8413,82467162.87
Offices of Dentists,OR,6263,82380828.64
Full-Service Restaurants,OK,22575,81529425.62
Offices of Dentists,MO,7877,81489019.78
General Automotive Repair,IL,9329,81108119.17
Beauty Salons,NY,14016,80958260.56
Architectural Services,CA,5662,80626848.93
Offices of Lawyers,LA,6834,80487429.39
Insurance Agencies and Brokerages,GA,8961,80372354.34
Offices of Physicians (except Mental Health Specialists),AL,7065,79759471.93
"Plumbing, Heating, and Air-Conditioning Contractors",PA,7424,79684477.74
Insurance Agencies and Brokerages,OH,7741,79396157.33
Administrative Management and General Management Consulting Services,NY,5863,79245163.33
Religious Organizations,MN,12920,78930813.69
General Automotive Repair,PA,7805,78152300.02
Home Health Care Services,TX,21541,77878557.98
